id;Genus;Species;Variant;Name;protected;edibilityId
249;Lepiota;aspera;(Pers.) Quel.;Trnovača, račvasta trnovača, bodljikava suncobranka;FALSE;2
250;Lepiota;clypeolaria;(Bull:Fr) Kummer;Bijelonoga štitarka, štitarka, obuvena suncobranka;FALSE;3
251;Lepista;glaucocana;(Bres.) Singer;Blijedoljubičasta koturnica;FALSE;4
252;Lepista;nuda;(Bull:Fr) Cooke;Modrikača, modra koturnica, modrikasta jesenjača;FALSE;7
253;Lepista;sordida;;Mala koturnica;FALSE;5
254;Leratiomyces;squamosus;;;FALSE;3
255;Leucoagaricus;leucothites;(Vittadini) Wasser;Bjelkasta pečurkovica, turkinja, crvenkastolisna sunčica;FALSE;5
256;Leucocoprinus;birnabumii;;;FALSE;4
257;Leucocortinarius;bulbiger;(Alb & Schw:Fr) Singer;Bijelolistićava koprenka, gomoljasta bijelosporka;FALSE;5
258;Leucogyrophana;mollusca;;;FALSE;3
259;Leucopaxillus;macrocephalus;(Schulzer) Bohus;Glavata debeljača, glavata podvijenka;TRUE;3
260;Lophodermium;arundinaceum;(Schrad.) Chevall.;-;FALSE;3
261;Lycoperdon;echinatum;;Naježena puhara,bodljikava puhara;FALSE;5
262;Lycoperdon;perlatum;Pers:Pers;Tikvasta puhara, zrnata puhara, puša, prha, prhavica;FALSE;5
263;Lyophyllum;fumosum;(Pers.) P.D. Orton;Obična sraštenica, kostanjevčica, siva sraštenica;FALSE;7
264;Lyophyllum;loricatum;(Fr) Kuhn.;Tvrdokožna sraštenica, hrskavica, pozna kostanjevka, oklopljena kostanjevka;FALSE;6
265;Macrocystidia;cucumis;(Pers:Fr) Josserand;Velikocistidna mirisnica;FALSE;3
266;Macrolepiota;excoriata;;Oguljena sunčanica;FALSE;7
267;Macrolepiota;procera;(Scop:Fr) Singer;Sunčanica, velika sunčanica, šugarica, srnjaki, srndakuša, kozara, parazol;FALSE;7
268;Macrolepiota;rhacodes;(Vittadini) Singer;Kuštrava sunčanica, crvenkasta sunčanica;FALSE;5
269;Macrotyphula;filiformis;;;FALSE;3
270;Marasmiellus;omphaliformis;(Kuhner) Noordeloos;-;FALSE;3
271;Marasmius;alliaceus;(Jacq:Fr) Fr;Bukova čamavka, dugonogi klinčac, lukovka, lukova čamavka, nitasta češnjevka;FALSE;4
272;Marasmius;buillardii;;;FALSE;3
273;Marasmius;cohaerens;;;FALSE;3
274;Marasmius;oreades;(Bolt:Fr) Fr;Vilin klinčac, mirisna čamavka, jušna gljiva, jesenski ili poljski museron;FALSE;6
275;Marasmius;rotula;(Scop:Fr) Fr;Koturasta sušičarka, koturasta čamavka;FALSE;3
276;Marasmius;scorodonius;;;FALSE;5
277;Megacollybia;platyphylla;(Pers:Fr)Kotl.&Pouz.;Raspucana širokoliska, širokolisna korjenjača;FALSE;5
278;Melanoleuca;grammopodia;;;FALSE;5
279;Melanoleuca;melaleuca;(Pers:Fr) Murrill;Obična gustoliska;FALSE;5
280;Meripilus;giganteus;(Pers.) P. Karst.;Orijaška zrašćenka, orijaška rupičavka, golemi žbunac, veliki žbunac;FALSE;4
281;Merulius;tremellosus;;;FALSE;3
282;Mitrophora;semilibera;(DeCand:Fr) Leveille;Zvonasti smrčak, hibridni smrčak, prirasli smrčak;FALSE;6
283;Morchella;conica;;Stožasti smrčak,marohlin,mavrica;FALSE;7
284;Morchella;esculenta;(L.) Pers.;Smrčak, pravi smrčak, srček, marohlin, maruh, svijetli smrčak, žuti smrčak;FALSE;7
285;Mutinus;caninus;(Huds:Pers) Fr.;Pasji stršak, pasjak;FALSE;3
286;Mycena;inclinata;(Fr) Quelet;Kosoglava šljemovka, kosoglavka, žutonožna šljemovka, smrdljiva šljemovka;FALSE;3
287;Mycena;crocata;(Schrad:Fr) Kummer;Narančastosočna šljemovka, šafranasta šljemovka;FALSE;3
288;Mycena;galericulata;(Scop:Fr) SF Gray;Naborana šljemovka, naherena šljemovka;FALSE;3
289;Mycena;olivaceomarginata;;;FALSE;3
290;Mycena;renati;Quelet;Žutonoga šljemovka;FALSE;3
291;Mycena;rorida;;;FALSE;3
292;Mycena;tintinnabulum;;;FALSE;3
293;Neournula;pouchetii;(Ber. & Riou.) Paden;-;FALSE;3
294;Omphalotus;olearius;(De Cand:Fr) Fayod;Zavodnica, maslinova gljiva, bragara;FALSE;2
295;Otidea;onotica;(Pers:Fr) Fuckel;Velika žutouška, magareće uho;FALSE;5
296;Oudemansiella;mucida;(Schrad:Fr) Hohnel;Sluzava korjenjača, ledenjača;FALSE;5
297;Oudemansiella;radicata;(Rehl:Fr) Singer;Korjenjača, vitka korjenjača, glatkonoga korjenjača, korijenka;FALSE;5
